"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
2579,64,9157593,"Saulnes, Place","",0,,,,
2579,64,9157592,"Saulnes, Place","",0,,,,
2579,64,9157591,"Saulnes, Place","",0,,,,
2579,64,9157590,"Saulnes, Place","",0,,,,
2579,64,9157589,"Saulnes, Place","",0,,,,
2579,64,9157588,"Saulnes, Place","",0,,,,
2579,64,9157587,"Saulnes, Place","",0,,,,
2579,27,9157602,"Saulnes, Place","",0,,,,
2579,64,9157601,"Saulnes, Place","",0,,,,
2579,27,9157600,"Saulnes, Place","",0,,,,
2579,64,9157599,"Saulnes, Place","",0,,,,
2579,27,9157598,"Saulnes, Place","",0,,,,
2579,64,9157597,"Saulnes, Place","",0,,,,
2579,27,9157596,"Saulnes, Place","",0,,,,
2579,64,9157586,"Saulnes, Place","",0,,,,
2579,64,9157585,"Saulnes, Place","",0,,,,
2579,64,9157584,"Saulnes, Place","",0,,,,
2579,64,9157583,"Rodange, Gare","",1,,,,
2579,27,9157582,"Rodange, Gare","",1,,,,
2579,64,9157570,"Rodange, Gare","",1,,,,
2579,27,9157569,"Rodange, Gare","",1,,,,
2579,64,9157568,"Rodange, Gare","",1,,,,
2579,27,9157567,"Rodange, Gare","",1,,,,
2579,64,9157566,"Rodange, Gare","",1,,,,
2579,64,9157581,"Rodange, Gare","",1,,,,
2579,64,9157580,"Rodange, Gare","",1,,,,
2579,64,9157579,"Rodange, Gare","",1,,,,
2579,64,9157578,"Rodange, Gare","",1,,,,
2579,64,9157577,"Rodange, Gare","",1,,,,
2579,64,9157576,"Rodange, Gare","",1,,,,
2579,64,9157575,"Rodange, Gare","",1,,,,
2579,64,9157565,"Rodange, Gare","",1,,,,
2579,64,9157564,"Rodange, Gare","",1,,,,
2579,64,9157574,"Rodange, Gare","",1,,,,
2579,64,9157573,"Rodange, Gare","",1,,,,
2579,64,9157572,"Rodange, Gare","",1,,,,
2579,64,9157571,"Rodange, Gare","",1,,,,
2578,64,9157365,"St. Charles, Eglise","",0,,,,
2578,64,9157354,"St. Charles, Eglise","",0,,,,
2578,64,9157353,"St. Charles, Eglise","",0,,,,
2578,64,9157352,"St. Charles, Eglise","",0,,,,
2578,64,9157364,"St. Charles, Eglise","",0,,,,
2578,64,9157363,"St. Charles, Eglise","",0,,,,
2578,64,9157362,"St. Charles, Eglise","",0,,,,
2578,64,9157361,"St. Charles, Eglise","",0,,,,
2578,64,9157360,"St. Charles, Eglise","",0,,,,
2578,64,9157359,"St. Charles, Eglise","",0,,,,
2578,64,9157351,"St. Charles, Eglise","",0,,,,
2578,27,9157350,"St. Charles, Eglise","",0,,,,
2578,64,9157349,"St. Charles, Eglise","",0,,,,
2578,27,9157348,"St. Charles, Eglise","",0,,,,
2578,64,9157347,"St. Charles, Eglise","",0,,,,
2578,27,9157346,"St. Charles, Eglise","",0,,,,
2578,64,9157358,"St. Charles, Eglise","",0,,,,
2578,64,9157357,"St. Charles, Eglise","",0,,,,
2578,64,9157356,"St. Charles, Eglise","",0,,,,
2578,64,9157355,"St. Charles, Eglise","",0,,,,
2578,64,9157345,"Rodange, Gare","",1,,,,
2578,64,9157344,"Rodange, Gare","",1,,,,
2578,27,9157333,"Rodange, Gare","",1,,,,
2578,64,9157332,"Rodange, Gare","",1,,,,
2578,27,9157331,"Rodange, Gare","",1,,,,
2578,64,9157330,"Rodange, Gare","",1,,,,
2578,27,9157329,"Rodange, Gare","",1,,,,
2578,64,9157328,"Rodange, Gare","",1,,,,
2578,64,9157343,"Rodange, Gare","",1,,,,
2578,64,9157342,"Rodange, Gare","",1,,,,
2578,64,9157341,"Rodange, Gare","",1,,,,
2578,64,9157340,"Rodange, Gare","",1,,,,
2578,64,9157339,"Rodange, Gare","",1,,,,
2578,64,9157338,"Rodange, Gare","",1,,,,
2578,64,9157327,"Rodange, Gare","",1,,,,
2578,64,9157326,"Rodange, Gare","",1,,,,
2578,64,9157325,"Rodange, Gare","",1,,,,
2578,64,9157337,"Rodange, Gare","",1,,,,
2578,64,9157336,"Rodange, Gare","",1,,,,
2578,64,9157335,"Rodange, Gare","",1,,,,
2578,64,9157334,"Rodange, Gare","",1,,,,
2577,64,9157099,"Pétange, Gare","",0,,,,
2577,64,9157098,"Pétange, Gare","",0,,,,
2577,64,9157092,"Pétange, Gare","",0,,,,
2577,64,9157091,"Pétange, Gare","",0,,,,
2577,64,9157090,"Pétange, Gare","",0,,,,
2577,64,9157097,"Pétange, Gare","",0,,,,
2577,64,9157096,"Pétange, Gare","",0,,,,
2577,64,9157095,"Pétange, Gare","",0,,,,
2577,27,9157094,"Pétange, Gare","",0,,,,
2577,27,9157089,"Pétange, Gare","",0,,,,
2577,27,9157093,"Pétange, Gare","",0,,,,
2577,64,9157088,"Pétange, Gare","",0,,,,
2577,64,9157082,"Pétange, Gare","",1,,,,
2577,64,9157081,"Pétange, Gare","",1,,,,
2577,27,9157072,"Pétange, Gare","",1,,,,
2577,64,9157087,"Rodange, Fonderie","",1,,,,
2577,64,9157086,"Rodange, Fonderie","",1,,,,
2577,64,9157080,"Rodange, Fonderie","",1,,,,
2577,64,9157079,"Rodange, Fonderie","",1,,,,
2577,27,9157078,"Rodange, Fonderie","",1,,,,
2577,27,9157077,"Rodange, Fonderie","",1,,,,
2577,27,9157076,"Rodange, Fonderie","",1,,,,
2577,27,9157075,"Rodange, Fonderie","",1,,,,
2577,27,9157085,"Rodange, Fonderie","",1,,,,
2577,27,9157084,"Rodange, Fonderie","",1,,,,
2577,27,9157083,"Rodange, Fonderie","",1,,,,
2577,27,9157074,"Rodange, Fonderie","",1,,,,
2577,27,9157073,"Rodange, Fonderie","",1,,,,
2576,64,9155949,"Steinfort, Um Quai","",0,,,,
2576,27,9155948,"Steinfort, Um Quai","",0,,,,
2576,64,9155959,"Steinfort, Um Quai","",0,,,,
2576,27,9155958,"Steinfort, Um Quai","",0,,,,
2576,85,9155935,"Steinfort, Um Quai","",0,,,,
2576,64,9155957,"Steinfort, Um Quai","",0,,,,
2576,27,9155956,"Steinfort, Um Quai","",0,,,,
2576,64,9155955,"Steinfort, Um Quai","",0,,,,
2576,51,9155947,"Steinfort, Um Quai","",0,,,,
2576,64,9155946,"Steinfort, Um Quai","",0,,,,
2576,51,9155945,"Steinfort, Um Quai","",0,,,,
2576,64,9155944,"Steinfort, Um Quai","",0,,,,
2576,51,9155943,"Steinfort, Um Quai","",0,,,,
2576,64,9155942,"Steinfort, Um Quai","",0,,,,
2576,51,9155941,"Steinfort, Um Quai","",0,,,,
2576,27,9155954,"Steinfort, Um Quai","",0,,,,
2576,64,9155953,"Steinfort, Um Quai","",0,,,,
2576,27,9155952,"Steinfort, Um Quai","",0,,,,
2576,85,9155934,"Steinfort, Um Quai","",0,,,,
2576,64,9155951,"Steinfort, Um Quai","",0,,,,
2576,27,9155950,"Steinfort, Um Quai","",0,,,,
2576,64,9155940,"Steinfort, Um Quai","",0,,,,
2576,27,9155939,"Steinfort, Um Quai","",0,,,,
2576,51,9155938,"Steinfort, Um Quai","",0,,,,
2576,64,9155937,"Steinfort, Um Quai","",0,,,,
2576,64,9155936,"Steinfort, Um Quai","",0,,,,
2576,64,9155926,"Pétange, Gare","",1,,,,
2576,51,9155925,"Pétange, Gare","",1,,,,
2576,27,9155924,"Pétange, Gare","",1,,,,
2576,64,9155933,"Pétange, Gare","",1,,,,
2576,27,9155932,"Pétange, Gare","",1,,,,
2576,85,9155910,"Pétange, Gare","",1,,,,
2576,64,9155931,"Pétange, Gare","",1,,,,
2576,27,9155930,"Pétange, Gare","",1,,,,
2576,64,9155923,"Pétange, Gare","",1,,,,
2576,51,9155922,"Pétange, Gare","",1,,,,
2576,64,9155921,"Pétange, Gare","",1,,,,
2576,51,9155920,"Pétange, Gare","",1,,,,
2576,64,9155919,"Pétange, Gare","",1,,,,
2576,51,9155918,"Pétange, Gare","",1,,,,
2576,64,9155917,"Pétange, Gare","",1,,,,
2576,51,9155916,"Pétange, Gare","",1,,,,
2576,27,9155915,"Pétange, Gare","",1,,,,
2576,64,9155929,"Pétange, Gare","",1,,,,
2576,27,9155928,"Pétange, Gare","",1,,,,
2576,85,9155909,"Pétange, Gare","",1,,,,
2576,64,9155927,"Pétange, Gare","",1,,,,
2576,27,9155914,"Pétange, Gare","",1,,,,
2576,64,9155913,"Pétange, Gare","",1,,,,
2576,64,9155912,"Pétange, Gare","",1,,,,
2576,64,9155911,"Pétange, Gare","",1,,,,
2575,158,9141392,"Bascharage, R.P. André Siebenbour","",0,,,,
2575,33,9141395,"Bascharage, R.P. André Siebenbour","",0,,,,
2575,33,9141394,"Bascharage, R.P. André Siebenbour","",0,,,,
2575,159,9141393,"Bascharage, R.P. André Siebenbour","",0,,,,
2575,158,9141397,"Bascharage, R.P. André Siebenbour","",0,,,,
2575,33,9141398,"Bascharage, R.P. André Siebenbour","",0,,,,
2575,159,9141396,"Bascharage, R.P. André Siebenbour","",0,,,,
2575,158,9141389,"Dippach, Op der Haard","",0,,,,
2575,33,9141390,"Dippach, Op der Haard","",0,,,,
2575,159,9141391,"Dippach, Op der Haard","",0,,,,
2575,33,9141386,"Dippach, Op der Kopp","",1,,,,
2575,177,9141388,"Limpertsberg, L.T.C.","",1,,,,
2575,171,9391390,"Limpertsberg, L.T.C.","",1,,,,
2575,177,9141385,"Merl, Geesseknäppchen (N)","",1,,,,
2575,171,9391388,"Merl, Geesseknäppchen (N)","",1,,,,
2575,177,9141387,"Merl, Geesseknäppchen (N)","",1,,,,
2575,171,9391387,"Merl, Geesseknäppchen (N)","",1,,,,
2575,177,9141384,"Merl, Geesseknäppchen (N)","",1,,,,
2575,171,9391385,"Merl, Geesseknäppchen (N)","",1,,,,
2575,177,9141382,"Merl, Geesseknäppchen (N)","",1,,,,
2575,171,9391389,"Merl, Geesseknäppchen (N)","",1,,,,
2575,177,9141383,"Merl, Geesseknäppchen (N)","",1,,,,
2575,171,9391386,"Merl, Geesseknäppchen (N)","",1,,,,
2574,158,9139335,"Sanem, Op Lohr","",0,,,,
2574,33,9139336,"Sanem, Op Lohr","",0,,,,
2574,159,9139334,"Sanem, Op Lohr","",0,,,,
2574,33,9139333,"Merl, Geesseknäppchen (S)","",1,,,,
2573,158,9138277,"Leudelange, Bowent","",0,,,,
2573,33,9138279,"Leudelange, Bowent","",0,,,,
2573,159,9138278,"Leudelange, Bowent","",0,,,,
2573,158,9138275,"Mondercange, Rommelterhiel","",0,,,,
2573,33,9138276,"Mondercange, Rommelterhiel","",0,,,,
2573,159,9138280,"Mondercange, Rommelterhiel","",0,,,,
2573,33,9138273,"Merl, Geesseknäppchen (S)","",1,,,,
2573,33,9138274,"Merl, Geesseknäppchen (S)","",1,,,,
2572,158,9134349,"Hellange, Beteburgerstrooss","",0,,,,
2572,33,9134350,"Hellange, Beteburgerstrooss","",0,,,,
2572,159,9134348,"Hellange, Beteburgerstrooss","",0,,,,
2572,33,9134347,"Merl, Geesseknäppchen (S)","",1,,,,
2571,158,9130464,"Ahn, Alphonse Steinès","",0,,,,
2571,33,9130467,"Ahn, Alphonse Steinès","",0,,,,
2571,33,9130466,"Ahn, Alphonse Steinès","",0,,,,
2571,159,9130465,"Ahn, Alphonse Steinès","",0,,,,
2571,158,9130469,"Ahn, Alphonse Steinès","",0,,,,
2571,33,9130471,"Ahn, Alphonse Steinès","",0,,,,
2571,159,9130470,"Ahn, Alphonse Steinès","",0,,,,
2571,33,9130468,"Sandweiler, Am Eck","",0,,,,
2571,33,9130459,"Limpertsberg, L.T.C.","",1,,,,
2571,33,9130462,"Limpertsberg, L.T.C.","",1,,,,
2571,33,9130461,"Limpertsberg, L.T.C.","",1,,,,
2571,33,9130463,"Merl, Geesseknäppchen (S)","",1,,,,
2571,33,9130460,"Merl, Geesseknäppchen (S)","",1,,,,
2571,177,9130457,"Limpertsberg, L.T.C.","",1,5,,,
2571,171,9380434,"Limpertsberg, L.T.C.","",1,150,,,
2571,33,9130458,"Limpertsberg, L.T.C.","",1,,,1,
2561,177,9172239,"Eselborn, Dueref","",0,,,,
2561,198,9172236,"Eselborn, Dueref","",0,,,,
2561,27,9172263,"Lentzweiler, Op der Sang","",0,,,,
2561,171,9421984,"Sassel, Beim Millewee","",0,,,,
2561,199,9421963,"Sassel, Beim Millewee","",0,,,,
2561,33,9172234,"Troine, Duarrefstrooss","",0,,,,
2561,159,9172235,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172252,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172251,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172242,"Troine, Duarrefstrooss","",0,,,,
2561,188,9172241,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172248,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172240,"Troine, Duarrefstrooss","",0,,,,
2561,208,9172253,"Troine, Duarrefstrooss","",0,,,,
2561,27,9172258,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172256,"Troine, Duarrefstrooss","",0,,,,
2561,27,9172255,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172254,"Troine, Duarrefstrooss","",0,,,,
2561,27,9172245,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172243,"Troine, Duarrefstrooss","",0,,,,
2561,27,9172275,"Troine, Duarrefstrooss","",0,,,,
2561,188,9172273,"Troine, Duarrefstrooss","",0,,,,
2561,64,9172237,"Wincrange, Bei der Kapell","",0,,,,
2561,177,9172268,"Troine, Duarrefstrooss","",0,110,,,
2561,177,9172271,"Troine, Duarrefstrooss","",0,111,,,
2561,171,9421983,"Troine, Duarrefstrooss","",0,255,,,
2561,171,9421960,"Troine, Duarrefstrooss","",0,256,,,
2561,64,9172232,"Clervaux, Gare routière/Lycée","",1,,,,
2561,27,9172231,"Clervaux, Gare routière/Lycée","",1,,,,
2561,64,9172229,"Clervaux, Gare routière/Lycée","",1,,,,
2561,10,9421917,"Clervaux, Gare routière/Lycée","",1,,,,
2561,188,9172209,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172201,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172206,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172217,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172224,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172223,"Clervaux, Pl. de la Libération","",1,,,,
2561,208,9172216,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172220,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172218,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172200,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172204,"Clervaux, Pl. de la Libération","",1,,,,
2561,64,9172202,"Clervaux, Pl. de la Libération","",1,,,,
